Feature Family,How It Was Used,Reported Result,Takeaway
"GLCM / Haralick-style statistics [1, 2, 3]","Usually paired with classical classifiers after preprocessing or segmentation [4, 2]","In one comparative paper, the best texture-based setup with combined features and Random Forest reached 96.05% accuracy on segmented MRI images; another glioblastoma study reported 100% accuracy with combined GLCM, LBP, and IBA features [4, 5]","GLCM-based features can work well, especially when combined with other texture or intensity descriptors, but the best results usually come from carefully engineered pipelines rather than GLCM alone [4, 5]"
"Local Binary Pattern variants (LBP, CLBP) [5, 6]","As a handcrafted texture descriptor, often fused with HOG, GLCM, or fed into SVM / CNN / other classifiers [6, 5]","Reported accuracies ranged from about 84.95% for LBP+SVM to 95.6% for CLBP+CNN and 97% for SVM with combined LBP + HOG in one review paper [5, 6, 7]","LBP features are common and competitive, but by themselves they usually lag behind strong deep learning baselines; hybrid CLBP+CNN pipelines narrow the gap [5, 8]"
"HOG / gradient-based texture-shape descriptors [1, 6, 9]","Often fused with LBP/CLBP or used as input to SVM, RF, or other classifiers [6, 9]","One direct comparison reported RF with Gabor/HOG at 89.40% versus a custom CNN at 96.03%; another CLBP+CNN paper reported 95.6% accuracy [8, 6]","HOG is useful as a handcrafted baseline, but in the papers I found it was usually strongest when fused with other descriptors; pure DL still tends to win on accuracy [8, 6]"
"Discrete Wavelet Transform (DWT) [10, 9]","To capture multiresolution texture, often combined with GLCM, LBP, and statistical or geometric features [9, 11, 3]","Reported accuracies include 96.05% for a DT classifier on 31 traditional features, 96% for DWT-LBP plus geometric features with Naive Bayes, and 98.60% F1/accuracy in a DWT-radiomics fusion framework for glioma grading [4, 11, 12]","DWT features are especially common in hybrid feature-engineering pipelines; they can be strong, but they tend to shine when paired with other descriptors rather than standing alone [4, 12]"
"Hybrid handcrafted + deep learning pipelines [6, 2, 5]","Feature extractors such as CLBP, HOG, GLCM, or DWT are combined with CNNs, transfer learning, or CNN-extracted features fed into classical classifiers [2, 5, 1]","These hybrids often land in the 95% to 99% range; examples in this set include 95.6%, 96.0%, 97%, 98.60%, and 99.2% depending on dataset and task [6, 12, 7, 1]","The strongest pattern in the papers I found is not texture features versus deep learning as a pure binary; it is that handcrafted features still matter when they are fused with deep representations, especially for robustness and interpretability [2, 1]"
"[1] Malleswari et al., 2024. Comparative Analysis of Deep Learning Frameworks for the Classification of Brain Tumors. 2024 International Conference on Social and Sustainable Innovations in Technology and Engineering (SASI-ITE)."
"[2] Gottipati & Thumbur, 2024. A Comprehensive Approach to Brain Tumor Classification in MRI: Unifying Classical Local Binary Patterns and Convolution Neural Networks. Journal of Electrical Systems."
"[3] Awang & Ibrahim, 2021. Comparative Analysis of Glioblastoma Brain Tumour Classification. IEEE Conference on Systems, Process and Control."
"[4] Srivaishnavi et al., 2025. Feature Extraction from Segmented Brain MRI Images using Traditional Methods and Classification Analysis of Brain Tumor using Machine Learning Classifiers. Indian Journal of Science and Technology."
"[5] Sowrirajan & Balasubramanian, 2022. Brain Tumor Classification Using Machine Learning and Deep Learning Algorithms. International journal of electrical and electronics research."
"[6] Gottipati & Gowri, 2024. Brain Tumor Classification on MRI Images by using Classical Local Binary Patterns and Histograms of Oriented Gradients. Scalable Computing : Practice and Experience."
"[7] Azeez & Abdulazeez, 2024. Classification of Brain Tumor based on Machine Learning Algorithms: A Review. Journal of Applied Science and Technology Trends."
"[8] Shetty, 2026. Performance Analysis of Brain Tumor Prediction with ML Techniques. International Journal for Research in Engineering Application &amp; Management."
"[9] Dheepak & Vaishali, 2024. Optimizing Brain Tumor Classification through Innovative Texture-Based MRI Analysis: A Fusion of Novel GLCM and LBP with SVM Ensemble for Enhanced Accuracy. 2024 Global Conference on Communications and Information Technologies (GCCIT)."
"[10] Suryawanshi & Patil, 2023. Multiclass Classification of Brain MRI through DWT and GLCM Feature Extraction with Various Machine Learning Algorithms. International Journal on Recent and Innovation Trends in Computing and Communication."
"[11] Gupta et al., 2018. Glioma grade classification using wavelet transform-local binary pattern based statistical texture features and geometric measures extracted from MRI. Journal of experimental and theoretical artificial intelligence (Print)."
"[12] Kumar et al., 2021. IBRDM: An Intelligent Framework for Brain Tumor Classification Using Radiomics- and DWT-based Fusion of MRI Sequences. ACM Trans. Internet Techn."
